title,context,question,answer
orang Normandia,"Gaya pound memiliki padanan metrik, lebih jarang digunakan daripada newton: gaya kilogram (kgf) (kadang-kadang kilopond), adalah gaya yang diberikan oleh gravitasi standar pada satu kilogram massa. Gaya kilogram mengarah ke satuan massa alternatif, tetapi jarang digunakan: slug metrik (kadang-kadang mug atau hyl) adalah massa yang berakselerasi pada 1 m·s−2 ketika dikenai gaya 1 kgf. Gaya kilogram bukan bagian dari sistem SI modern, dan umumnya tidak digunakan lagi; namun masih digunakan untuk beberapa tujuan seperti menyatakan bobot pesawat, daya dorong jet, tegangan jari-jari sepeda, pengaturan kunci pas torsi, dan torsi keluaran mesin. Satuan gaya misterius lainnya termasuk sthène, yang setara dengan 1000 N, dan kip, yang setara dengan 1000 lbf.",Di negara manakah Normandia berada?,Perancis
orang Normandia,"Gaya pound memiliki padanan metrik, lebih jarang digunakan daripada newton: gaya kilogram (kgf) (kadang-kadang kilopond), adalah gaya yang diberikan oleh gravitasi standar pada satu kilogram massa. Gaya kilogram mengarah ke satuan massa alternatif, tetapi jarang digunakan: slug metrik (kadang-kadang mug atau hyl) adalah massa yang berakselerasi pada 1 m·s−2 ketika dikenai gaya 1 kgf. Gaya kilogram bukan bagian dari sistem SI modern, dan umumnya tidak digunakan lagi; namun masih digunakan untuk beberapa tujuan seperti menyatakan bobot pesawat, daya dorong jet, tegangan jari-jari sepeda, pengaturan kunci pas torsi, dan torsi keluaran mesin. Satuan gaya misterius lainnya termasuk sthène, yang setara dengan 1000 N, dan kip, yang setara dengan 1000 lbf.",Di negara manakah Normandia berada?,Perancis
orang Normandia,"Gaya pound memiliki padanan metrik, lebih jarang digunakan daripada newton: gaya kilogram (kgf) (kadang-kadang kilopond), adalah gaya yang diberikan oleh gravitasi standar pada satu kilogram massa. Gaya kilogram mengarah ke satuan massa alternatif, tetapi jarang digunakan: slug metrik (kadang-kadang mug atau hyl) adalah massa yang berakselerasi pada 1 m·s−2 ketika dikenai gaya 1 kgf. Gaya kilogram bukan bagian dari sistem SI modern, dan umumnya tidak digunakan lagi; namun masih digunakan untuk beberapa tujuan seperti menyatakan bobot pesawat, daya dorong jet, tegangan jari-jari sepeda, pengaturan kunci pas torsi, dan torsi keluaran mesin. Satuan gaya misterius lainnya termasuk sthène, yang setara dengan 1000 N, dan kip, yang setara dengan 1000 lbf.",Di negara manakah Normandia berada?,Perancis
orang Normandia,"Gaya pound memiliki padanan metrik, lebih jarang digunakan daripada newton: gaya kilogram (kgf) (kadang-kadang kilopond), adalah gaya yang diberikan oleh gravitasi standar pada satu kilogram massa. Gaya kilogram mengarah ke satuan massa alternatif, tetapi jarang digunakan: slug metrik (kadang-kadang mug atau hyl) adalah massa yang berakselerasi pada 1 m·s−2 ketika dikenai gaya 1 kgf. Gaya kilogram bukan bagian dari sistem SI modern, dan umumnya tidak digunakan lagi; namun masih digunakan untuk beberapa tujuan seperti menyatakan bobot pesawat, daya dorong jet, tegangan jari-jari sepeda, pengaturan kunci pas torsi, dan torsi keluaran mesin. Satuan gaya misterius lainnya termasuk sthène, yang setara dengan 1000 N, dan kip, yang setara dengan 1000 lbf.",Di negara manakah Normandia berada?,Perancis
orang Normandia,"Gaya pound memiliki padanan metrik, lebih jarang digunakan daripada newton: gaya kilogram (kgf) (kadang-kadang kilopond), adalah gaya yang diberikan oleh gravitasi standar pada satu kilogram massa. Gaya kilogram mengarah ke satuan massa alternatif, tetapi jarang digunakan: slug metrik (kadang-kadang mug atau hyl) adalah massa yang berakselerasi pada 1 m·s−2 ketika dikenai gaya 1 kgf. Gaya kilogram bukan bagian dari sistem SI modern, dan umumnya tidak digunakan lagi; namun masih digunakan untuk beberapa tujuan seperti menyatakan bobot pesawat, daya dorong jet, tegangan jari-jari sepeda, pengaturan kunci pas torsi, dan torsi keluaran mesin. Satuan gaya misterius lainnya termasuk sthène, yang setara dengan 1000 N, dan kip, yang setara dengan 1000 lbf.",Kapan orang Normandia di Normandia?,abad 10 dan 11
orang Normandia,"Gaya pound memiliki padanan metrik, lebih jarang digunakan daripada newton: gaya kilogram (kgf) (kadang-kadang kilopond), adalah gaya yang diberikan oleh gravitasi standar pada satu kilogram massa. Gaya kilogram mengarah ke satuan massa alternatif, tetapi jarang digunakan: slug metrik (kadang-kadang mug atau hyl) adalah massa yang berakselerasi pada 1 m·s−2 ketika dikenai gaya 1 kgf. Gaya kilogram bukan bagian dari sistem SI modern, dan umumnya tidak digunakan lagi; namun masih digunakan untuk beberapa tujuan seperti menyatakan bobot pesawat, daya dorong jet, tegangan jari-jari sepeda, pengaturan kunci pas torsi, dan torsi keluaran mesin. Satuan gaya misterius lainnya termasuk sthène, yang setara dengan 1000 N, dan kip, yang setara dengan 1000 lbf.",Kapan orang Normandia di Normandia?,pada abad 10 dan 11
orang Normandia,"Gaya pound memiliki padanan metrik, lebih jarang digunakan daripada newton: gaya kilogram (kgf) (kadang-kadang kilopond), adalah gaya yang diberikan oleh gravitasi standar pada satu kilogram massa. Gaya kilogram mengarah ke satuan massa alternatif, tetapi jarang digunakan: slug metrik (kadang-kadang mug atau hyl) adalah massa yang berakselerasi pada 1 m·s−2 ketika dikenai gaya 1 kgf. Gaya kilogram bukan bagian dari sistem SI modern, dan umumnya tidak digunakan lagi; namun masih digunakan untuk beberapa tujuan seperti menyatakan bobot pesawat, daya dorong jet, tegangan jari-jari sepeda, pengaturan kunci pas torsi, dan torsi keluaran mesin. Satuan gaya misterius lainnya termasuk sthène, yang setara dengan 1000 N, dan kip, yang setara dengan 1000 lbf.",Kapan orang Normandia di Normandia?,abad 10 dan 11
orang Normandia,"Gaya pound memiliki padanan metrik, lebih jarang digunakan daripada newton: gaya kilogram (kgf) (kadang-kadang kilopond), adalah gaya yang diberikan oleh gravitasi standar pada satu kilogram massa. Gaya kilogram mengarah ke satuan massa alternatif, tetapi jarang digunakan: slug metrik (kadang-kadang mug atau hyl) adalah massa yang berakselerasi pada 1 m·s−2 ketika dikenai gaya 1 kgf. Gaya kilogram bukan bagian dari sistem SI modern, dan umumnya tidak digunakan lagi; namun masih digunakan untuk beberapa tujuan seperti menyatakan bobot pesawat, daya dorong jet, tegangan jari-jari sepeda, pengaturan kunci pas torsi, dan torsi keluaran mesin. Satuan gaya misterius lainnya termasuk sthène, yang setara dengan 1000 N, dan kip, yang setara dengan 1000 lbf.",Kapan orang Normandia di Normandia?,abad 10 dan 11
orang Normandia,"Gaya pound memiliki padanan metrik, lebih jarang digunakan daripada newton: gaya kilogram (kgf) (kadang-kadang kilopond), adalah gaya yang diberikan oleh gravitasi standar pada satu kilogram massa. Gaya kilogram mengarah ke satuan massa alternatif, tetapi jarang digunakan: slug metrik (kadang-kadang mug atau hyl) adalah massa yang berakselerasi pada 1 m·s−2 ketika dikenai gaya 1 kgf. Gaya kilogram bukan bagian dari sistem SI modern, dan umumnya tidak digunakan lagi; namun masih digunakan untuk beberapa tujuan seperti menyatakan bobot pesawat, daya dorong jet, tegangan jari-jari sepeda, pengaturan kunci pas torsi, dan torsi keluaran mesin. Satuan gaya misterius lainnya termasuk sthène, yang setara dengan 1000 N, dan kip, yang setara dengan 1000 lbf.",Dari negara mana orang Nordik berasal?,"Denmark, Islandia dan Norwegia"
orang Normandia,"Gaya pound memiliki padanan metrik, lebih jarang digunakan daripada newton: gaya kilogram (kgf) (kadang-kadang kilopond), adalah gaya yang diberikan oleh gravitasi standar pada satu kilogram massa. Gaya kilogram mengarah ke satuan massa alternatif, tetapi jarang digunakan: slug metrik (kadang-kadang mug atau hyl) adalah massa yang berakselerasi pada 1 m·s−2 ketika dikenai gaya 1 kgf. Gaya kilogram bukan bagian dari sistem SI modern, dan umumnya tidak digunakan lagi; namun masih digunakan untuk beberapa tujuan seperti menyatakan bobot pesawat, daya dorong jet, tegangan jari-jari sepeda, pengaturan kunci pas torsi, dan torsi keluaran mesin. Satuan gaya misterius lainnya termasuk sthène, yang setara dengan 1000 N, dan kip, yang setara dengan 1000 lbf.",Dari negara mana orang Nordik berasal?,"Denmark, Islandia dan Norwegia"
